variable,label,type,value_labels,n_value_labels,n_2017,n_2020,n_2024,source,versions,label_variants,value_label_conflicts
s2q24_3,2.24.3 Household member who used inorganic fertilizers,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,202,0,2020: module section_2_2,,,
s2q24_4,2.24.4 Household member who used inorganic fertilizers,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,57,0,2020: module section_2_2,,,
s2q24_5,2.24.5 Household member who used inorganic fertilizers,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,14,0,2020: module section_2_2,,,
s2q24_6,2.24.6 Household member who used inorganic fertilizers,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,3,0,2020: module section_2_2,,,
s2q25,2.25 Main Source of inorganic fertilizers,int8,"1=Government (MINAGRI/RAB/DISTRICT), 2=Agro-dealers, 3=NGOs, 4=Market, 5=Agriculture cooperative …",6,0,3936,0,2020: module section_2_2,,,
s2q26,2.26 Any member of your HH used pesticides during 2019/2020 agricultural year?,int8,"1=Yes, 2=No",2,0,10297,0,2020: module section_2_2,,,
s2q27,2.27 Does any member of your household has land protected against erosion?,int8,"1=Yes, 2=No",2,0,10311,0,2020: module section_2_2,,,
measures_n,Soil protection measures (in numbers) your household used,int8,,0,0,10666,0,2020: module section_2_2,,,
s2q28_1,2.28.1 Which soil protection measures has your household used?,int8,"1=Radical terraces, 2=Progressive terraces, 3=Trenches (imiringoti), 4=Trees/Wind-break /Shelterbelt, 5=Cover plants/grasses …",9,0,8422,0,2020: module section_2_2,,,
s2q28_2,2.28.2 Which soil protection measures has your household used?,int8,"1=Radical terraces, 2=Progressive terraces, 3=Trenches (imiringoti), 4=Trees/Wind-break /Shelterbelt, 5=Cover plants/grasses …",9,0,4359,0,2020: module section_2_2,,,
s2q28_3,2.28.3 Which soil protection measures has your household used?,int8,"1=Radical terraces, 2=Progressive terraces, 3=Trenches (imiringoti), 4=Trees/Wind-break /Shelterbelt, 5=Cover plants/grasses …",9,0,1095,0,2020: module section_2_2,,,
s2q29,2.29 Are there any agroforestry trees in the household plots?,int8,"1=Yes, 2=No",2,0,10311,0,2020: module section_2_2,,,
s2q30,2.30 Any HH member practice irrigation at least in 1 of the plots in 2017 agric.,int8,"1=Yes, 2=No",2,0,10311,0,2020: module section_2_2,,,
s2q31,2.31 What is the main irrigation technique have you used on this plot?,int8,"1=Traditional irrigation, 2=Surface irrigation, 3=Flood irrigation (especially for rice), 4=Drip irrigation, 5=Sprinkler irrigation …",6,0,1538,0,2020: module section_2_2,,,
s2q32,2.32 What was the irrigation tool used?,int8,"1=Water cane /basin / bucket, 2=Water channels, 3=Tube wells, 4=SSIT tools (pumps, pivot?), 5=Irrigation machine …",7,0,1538,0,2020: module section_2_2,,,
s2q33,2.33 Source of water used for irrigation,int8,"1=Rainwater harvesting, 2=Water treatment plant, 3=Underground water, 4=Lake/stream water, 5=Water(dam) …",6,0,1538,0,2020: module section_2_2,,,
s0q15_section_3_2,0.15 Relationship of respondent to the Household head,int8,"1=Spouse, 2=Child, 3=Brother&Sister, 4=Parent, 5=Housekeeper/Manager …",6,0,3717,0,2020: module section_3_2,,,
s0q16_2_section_3_2,What is the agricultural activity of the Household?(activity2),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,7766,0,2020: module section_3_2,,,
s0q16_3_section_3_2,What is the agricultural activity of the Household?(activity3),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,1124,0,2020: module section_3_2,,,
s0q16_4_section_3_2,What is the agricultural activity of the Household?(activity4),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,63,0,2020: module section_3_2,,,
s0q17_section_3_2,0.17 Is agriculture the main livelihood activity of your household,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_3_2,,,
s3q5,3.5 Does any household member belong to ?Twigire muhinzi/mworozi? group?,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_3_2,,,
s3q5_1,Number of Males,int8,,0,0,665,0,2020: module section_3_2,,,
s3q5_2,Number of Females,int8,,0,0,665,0,2020: module section_3_2,,,
s3q6,3.6 Does any household member belong to ?Farmer field school??,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_3_2,,,
s3q6_1,Number of Males,int8,,0,0,404,0,2020: module section_3_2,,,
s3q6_2,Number of Females,int8,,0,0,404,0,2020: module section_3_2,,,
s3q7,3.7 Is there any household member who benefited from contract farming during 201,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_3_2,,,
s3q7_1,Number of Males,int8,,0,0,314,0,2020: module section_3_2,,,
s3q7_2,Number of Females,int8,,0,0,314,0,2020: module section_3_2,,,
s3q8,3.8 Is there any household member who took agriculture insurance during 2019/202,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_3_2,,,
s3q8_1,Number of Males,int8,,0,0,102,0,2020: module section_3_2,,,
s3q8_2,Number of Females,int8,,0,0,102,0,2020: module section_3_2,,,
s3q9,3.9 Does any member of this household belong to agricultural cooperatives/Associ,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_3_2,,,
s3q9_1,Number of Males,int8,,0,0,1271,0,2020: module section_3_2,,,
s3q9_2,Number of Females,int8,,0,0,1271,0,2020: module section_3_2,,,
s3q10,3.10 Type of cooperative (Multiple choice),int8,,0,0,10666,0,2020: module section_3_2,,,
s3q10_1,3.10 Type of cooperative (Multiple choice)?,int8,"1=Crop producers cooperative, 2=Livestock producers cooperative, 3=Water users cooperative, 4=Apiculture cooperative, 5=Fishery cooperative …",6,0,1271,0,2020: module section_3_2,,,
s3q10_2,3.10 Type of cooperative (Multiple choice)?,int8,"1=Crop producers cooperative, 2=Livestock producers cooperative, 3=Water users cooperative, 4=Apiculture cooperative, 5=Fishery cooperative …",6,0,80,0,2020: module section_3_2,,,
s3q10_3,3.10 Type of cooperative (Multiple choice)?,int8,"1=Crop producers cooperative, 2=Livestock producers cooperative, 3=Water users cooperative, 4=Apiculture cooperative, 5=Fishery cooperative …",6,0,1,0,2020: module section_3_2,,,
s3q11_1,3.11 What types of services do you get from these cooperative/or associations?,int8,"1=Farming advise, 2=They markets our products, 3=Access to farm inputs, 4=Storage facilities, 5=Access to loan …",8,0,1271,0,2020: module section_3_2,,,
s3q11_2,3.11 What types of services do you get from these cooperative/or associations?,int8,"1=Farming advise, 2=They markets our products, 3=Access to farm inputs, 4=Storage facilities, 5=Access to loan …",8,0,879,0,2020: module section_3_2,,,
s3q11_3,3.11 What types of services do you get from these cooperative/or associations?,int8,"1=Farming advise, 2=They markets our products, 3=Access to farm inputs, 4=Storage facilities, 5=Access to loan …",8,0,613,0,2020: module section_3_2,,,
s3q11_4,3.11 What types of services do you get from these cooperative/or associations?,int8,"1=Farming advise, 2=They markets our products, 3=Access to farm inputs, 4=Storage facilities, 5=Access to loan …",8,0,307,0,2020: module section_3_2,,,
s3q12,3.12 Do you have a kitchen garden at your home?,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_3_2,,,
s3q13,3.13 Was there any reared cow received from GIRINKA program in your household du,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_3_2,,,
s3q14,3.14 Source of cow donated from Girinka program,int8,"1=Government, 2=NGO/company, 4=Other source(specify)",3,0,403,0,2020: module section_3_2,,,
s3q15,3.15 Do your household still have cow provided by GIRINKA Program?,int8,"1=Yes, 2=No",2,0,406,0,2020: module section_3_2,,,
s3q16,3.16 If 'No' what is the reason?,int8,"1=Died, 2=Stolen, 3=Given to other due to lack of fodder and feeding means, 4=Replaced, 5=Sold to others",5,0,57,0,2020: module section_3_2,,,
s3q17,"3.17 Was there any reared small livestock (goat, pig, chicken?) received from ne",int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_3_2,,,
s3q18,3.18 Type of small livestock,int8,"1=Goats, 2=Pigs, 3=Poultry, 4=Sheep, 5=Rabbits …",6,0,428,0,2020: module section_3_2,,,
s3q19,3.19 Source of small livestock donated from new Girinka program,int8,"1=Government, 2= NGO/Company, 3=Friends, 4=Cooperative, 5=Other source(specify)",5,0,428,0,2020: module section_3_2,,,
s3q20,3.20 Have you received any support/ fund for grant for agricultural purpose duri,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_3_2,,,
s3q21,3.21 What types of support/fund received,int8,"1=Money, 2=Agricultural material/tools, 3=Post-harvests tools, 4=Other(specify)",4,0,280,0,2020: module section_3_2,,,
s3q22,3.22 What is the origin of that support?,int8,"1=Government, 2=NGOs, 3=Friends and relatives, 4=Company/Association, 5=Other(specify)",5,0,280,0,2020: module section_3_2,,,
s0q15_section_4,0.15 Relationship of respondent to the Household head,int8,"1=Spouse, 2=Child, 3=Brother&Sister, 4=Parent, 5=Housekeeper/Manager …",6,0,3717,0,2020: module section_4,,,
s0q16_2_section_4,What is the agricultural activity of the Household?(activity2),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,7766,0,2020: module section_4,,,
s0q16_3_section_4,What is the agricultural activity of the Household?(activity3),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,1124,0,2020: module section_4,,,
s0q16_4_section_4,What is the agricultural activity of the Household?(activity4),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,63,0,2020: module section_4,,,
s0q17_section_4,0.17 Is agriculture the main livelihood activity of your household,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_4,,,
s4q2_1,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,6328,0,2020: module section_4,,,
s4q2_2,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,2052,0,2020: module section_4,,,
s4q2_3,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,329,0,2020: module section_4,,,
s4q2_4,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,124,0,2020: module section_4,,,
s4q2_5,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,54,0,2020: module section_4,,,
s4q2_6,4.2 member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,18,0,2020: module section_4,,,
s4q2_7,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,10,0,2020: module section_4,,,
s4q2_8,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,3,0,2020: module section_4,,,
s4q2_9,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,1,0,2020: module section_4,,,
s4q3_1,4.3 What are main financial institution/s of bank holders(instutition1),int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=Other(specify)",4,0,6328,0,2020: module section_4,,,
s4q3_2,4.3 What are main financial institution/s of bank holders(instutition1)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=Other(specify)",4,0,817,0,2020: module section_4,,,
s4q3_3,4.3 What are main financial institution/s of bank holders(instutition1)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=Other(specify)",4,0,69,0,2020: module section_4,,,
s4q3_4,4.3 What are main financial institution/s of bank holders(instutition1)?,string,,0,16057,10666,3724,2020: module section_4,,,
s4q4,Is there any household member belonging to tontine/solidarity fund?,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_4,s4q4_v2 (2017),,
s4q5,4.5 Did any household member have savings during last 12 months?,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_4,s4q5_v2 (2017),,
s4q6_1,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,7269,0,2020: module section_4,,,
s4q6_2,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,2791,0,2020: module section_4,,,
s4q6_3,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,414,0,2020: module section_4,,,
s4q6_4,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,174,0,2020: module section_4,,,
s4q6_5,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,75,0,2020: module section_4,,,
s4q6_6,4.2 member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,29,0,2020: module section_4,,,
s4q6_7,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,12,0,2020: module section_4,,,
s4q6_8,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,5,0,2020: module section_4,,,
s4q6_9,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,2,0,2020: module section_4,,,
s4q7_1,What main financial institution/s in which savings were made(1)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=Tontine/Solidarity fund, 5=Other(specify)",5,0,7269,0,2020: module section_4,,,
s4q7_2,What main financial institution/s in which savings were made(2)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=Tontine/Solidarity fund, 5=Other(specify)",5,0,1359,0,2020: module section_4,,,
s4q7_3,What main financial institution/s in which savings were made(3)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=Tontine/Solidarity fund, 5=Other(specify)",5,0,201,0,2020: module section_4,,,
s4q7_4,What main financial institution/s in which savings were made(4)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=Tontine/Solidarity fund, 5=Other(specify)",5,0,20,0,2020: module section_4,,,
s4q8,4.8 Did any member of your household request any loan during last 12 months?,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_4,s4q8_v2 (2017),,
s4q9_1,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,4045,0,2020: module section_4,,,
s4q9_2,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,966,0,2020: module section_4,,,
s4q9_3,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,88,0,2020: module section_4,,,
s4q9_4,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,30,0,2020: module section_4,,,
s4q9_5,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,10,0,2020: module section_4,,,
s4q9_6,4.2 member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,5,0,2020: module section_4,,,
s4q9_7,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,1,0,2020: module section_4,,,
s4q10_1,4.10 From where the loan was requested?(1)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=VUP finacial services, 5=Ubudehe loan …",8,0,4045,0,2020: module section_4,,,
s4q10_2,4.10 From where the loan was requested?(2)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=VUP finacial services, 5=Ubudehe loan …",8,0,407,0,2020: module section_4,,,
s4q10_3,4.10 From where the loan was requested?(3)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=VUP finacial services, 5=Ubudehe loan …",8,0,33,0,2020: module section_4,,,
s4q10_4,4.10 From where the loan was requested?(4)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=VUP finacial services, 5=Ubudehe loan …",8,0,3,0,2020: module section_4,,,
s4q11,4.11 Among loans requested were there some of them rejected?,int8,"1=Yes all, 2=Yes some, 3=No",3,0,4045,0,2020: module section_4,s4q11_v2 (2017),,
s4q12,4.12 If the loan was rejected what was the main reason?,int8,"1=Insufficient income, 2=Insufficient collateral, 3=Problems related to debts history, 4=Unclear purpose of the loan, 5=Poor financial status of financial institution",5,0,333,0,2020: module section_4,s4q12_v2 (2017),,
s4q13,What was the main use of the rejected loan?,int8,"1=Business, 2=Agriculture project, 3=House construction/repair, 4=Household expenses, 5=Education …",6,0,333,0,2020: module section_4,s4q13_v2 (2017),,
s0q15_section_7_3,0.15 Relationship of respondent to the Household head,int8,"1=Spouse, 2=Child, 3=Relative, 4=Parent, 5=Housekeeper/Manager …",6,0,3717,0,2020: module section_7_3,,,
s0q16_2_section_7_3,What is the agricultural activity of the Household?(activity2),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,7766,0,2020: module section_7_3,,,
s0q16_3_section_7_3,What is the agricultural activity of the Household?(activity3),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,1124,0,2020: module section_7_3,,,
s0q16_4_section_7_3,What is the agricultural activity of the Household?(activity4),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,63,0,2020: module section_7_3,,,
s0q17_section_7_3,0.17 Is agriculture the main livelihood activity of your household,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_7_3,,,
s1q1,1.1 Total number of household members,int8,,0,0,10666,0,2020: module section_7_3,,,
s1q4,1.4 What is the household member?s relationship with the household Head?,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,10666,0,2020: module section_7_3,,,
s1q5,1.5 What is the sex of household member?,int8,"1=Male, 2=Female",2,0,10666,0,2020: module section_7_3,,,
s1q6,1.6 What is the age of household member?,int16,,0,0,10666,0,2020: module section_7_3,,,
s1q7,1.7 What is the highest level of education attained by the household member?,int8,"1=Some/Still Primary, 2=Completed Primary, 3=Vocational School, 4=some/still secondary, 5=Completed Secondary …",9,0,10666,0,2020: module section_7_3,,,
s1q8,1.8 What is the main economic activity of hh member,int8,"1=Self-employed in agriculture, 2=Paid daily labor in agriculture, 3=Contribute in household  agriculture activities, 4=Daily labor not in agriculture, 5=Purchase and Sale of agricultural products …",13,0,10666,0,2020: module section_7_3,,,
s1q9,1.9 Have you been engaged in agricultural activities during last 2019/2020 agric,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_7_3,,,
s1q10,Has  [member name] been engaged in agricultural activities during last 2019/2020,int8,"1=Market oriented farming, 2=Agricultural production processing, 3=Import of agricultural products, 4=Export of agricultural products, 5=Supply of agricultural inputs …",6,0,10666,0,2020: module section_7_3,,,
s7q3_1,7.3.1 Have you done bee keeping in last twelve months,int8,"1=Yes, 2=No",2,0,10666,0,2020: module section_7_3,,,
s7q3_2,7.3.2 Number of traditional bee hives owned now,int8,,0,0,263,0,2020: module section_7_3,,,
s7q3_3,7.3.3 Number of modern bee hives owned now,int8,,0,0,263,0,2020: module section_7_3,,,
s7q3_4,7.3.4 Quantity of honey produced from traditional bee hives during 12 last month,int8,,0,0,263,0,2020: module section_7_3,,,
s7q3_5,7.3.5 Quantity of honey produced from modern bee hive during 12 last months (kg),int16,,0,0,263,0,2020: module section_7_3,,,
s7q3_6,7.3.6 Quantity consumed by your household during last 12 months (kg),int8,,0,0,263,0,2020: module section_7_3,,,
s7q3_7,7.3.7 Quantity sold during last 12 months (kg) (Kg),int16,,0,0,263,0,2020: module section_7_3,,,
s7q3_8,7.3.8  Average selling price per kg (Rwf),int16,,0,0,112,0,2020: module section_7_3,,,
s7q3_9,7.3.9 Quantity used in any other way during last 12 months (kg)?,int8,,0,0,263,0,2020: module section_7_3,,,
honey_produce,,int8,,0,0,0,0,2020: module section_7_3,,,
s0q14,0.14 The main livelihood activity of your household,int8,"1=Agriculture, 2=No agricultural activities",2,0,0,3724,2024: module section0,s0q14_v2 (2017),,
s0q16,0.16 No agricultural activities,int8,"1=Daily Labour, 2=Fishing, Hunting, Gathering, 3=Skilled labor, 4=Purchase and Sale of agricultural products, 5=Purchase and sale of livestock …",15,0,0,428,2024: module section0,s0q16_v2 (2017),,
s8q1,8.1 Are you aware of the environmental risks associated with the excessive use o,int8,"1=Yes, 2=No",2,0,0,3724,2024: module section8_sustainable_agriculture,,,
s8q2,8.2 Did your household take specific measures to mitigate the environmental risk,int8,"1=Yes, 2=No",2,0,0,1252,2024: module section8_sustainable_agriculture,,,
s8q3,8.3 Among the following specific measures to mitigate the environmental risks as,string,,0,16057,10666,3724,2024: module section8_sustainable_agriculture,,,
s8q4,8.4 Are you aware of the environmental and health risks associated with the use,int8,"1=Yes, 2=No",2,0,0,3724,2024: module section8_sustainable_agriculture,,,
s8q5,"8.5 In this season, which of the following measures did your household adopt to",string,,0,16057,10666,3724,2024: module section8_sustainable_agriculture,,,
s8q6,"8.6 To avoid environment-related risk, which of the following measures did your",string,,0,16057,10666,3724,2024: module section8_sustainable_agriculture,,,
