variable,label,type,value_labels,n_value_labels,n_EICV4_VUP,n_EICV5_VUP,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
s8cq5_v2,[EICV7_VUP..EICV7_VUP version] Point of Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,306,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq6_v2,[EICV7_VUP..EICV7_VUP version] Amount paid for lunch away from home (Visit2),int16,,0,0,0,1111,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq7_v2,[EICV7_VUP..EICV7_VUP version] Point of Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,1110,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq8_v2,[EICV7_VUP..EICV7_VUP version] Amount paid for dinner away from home (Visit2),int16,,0,0,0,466,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq9_v2,[EICV7_VUP..EICV7_VUP version] Point of Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,466,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq10_v2,[EICV7_VUP..EICV7_VUP version] Amount paid for food/snacks between meals away fr,int16,,0,0,0,362,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq11_v2,[EICV7_VUP..EICV7_VUP version] Point of Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,362,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq12_v2,[EICV7_VUP..EICV7_VUP version] Amount paid for any hot beverage away from home (,int16,,0,0,0,98,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq13_v2,[EICV7_VUP..EICV7_VUP version] Point Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,98,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq14_v2,[EICV7_VUP..EICV7_VUP version] Amount paid for any non-alcoholic drinks away fro,int16,,0,0,0,612,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq15_v2,[EICV7_VUP..EICV7_VUP version] Point service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,612,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq16_v2,[EICV7_VUP..EICV7_VUP version] Amount paid for alcoholic drinks taken away from,int16,,0,0,0,668,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq17_v2,[EICV7_VUP..EICV7_VUP version] Point service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,668,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq2_v3,[EICV7_VUP..EICV7_VUP version] Consumed any food away from home Since my last vi,int8,"1=Yes, 2=No",2,0,0,15039,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq4_v3,[EICV7_VUP..EICV7_VUP version] Amount pay for breakfast away from home (Visit3),int16,,0,0,0,372,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq5_v3,[EICV7_VUP..EICV7_VUP version] Point of Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,373,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq6_v3,[EICV7_VUP..EICV7_VUP version] Amount paid for lunch away from home (Visit3),int16,,0,0,0,1398,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq7_v3,[EICV7_VUP..EICV7_VUP version] Point of Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,1399,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq8_v3,[EICV7_VUP..EICV7_VUP version] Amount paid for dinner away from home (Visit3),int16,,0,0,0,623,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq9_v3,[EICV7_VUP..EICV7_VUP version] Point of Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,624,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq10_v3,[EICV7_VUP..EICV7_VUP version] Amount paid for food/snacks between meals away fr,int16,,0,0,0,329,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq11_v3,[EICV7_VUP..EICV7_VUP version] Point of Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,329,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq12_v3,[EICV7_VUP..EICV7_VUP version] Amount paid for any hot beverage away from home (,int16,,0,0,0,140,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq13_v3,[EICV7_VUP..EICV7_VUP version] Point Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,140,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq14_v3,[EICV7_VUP..EICV7_VUP version] Amount paid for any non-alcoholic drinks away fro,int16,,0,0,0,690,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq15_v3,[EICV7_VUP..EICV7_VUP version] Point service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,690,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq16_v3,[EICV7_VUP..EICV7_VUP version] Amount paid for alcoholic drinks taken away from,int16,,0,0,0,748,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq17_v3,[EICV7_VUP..EICV7_VUP version] Point service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,748,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq2_v4,[EICV7_VUP..EICV7_VUP version] Consumed any food away from home Since my last vi,int8,"1=Yes, 2=No",2,0,0,15039,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq4_v4,[EICV7_VUP..EICV7_VUP version] Amount pay for breakfast away from home (Visit4),int16,,0,0,0,373,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq5_v4,[EICV7_VUP..EICV7_VUP version] Point of Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,373,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq6_v4,[EICV7_VUP..EICV7_VUP version] Amount paid for lunch away from home (Visit4),int16,,0,0,0,1471,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq7_v4,[EICV7_VUP..EICV7_VUP version] Point of Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,1471,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq8_v4,[EICV7_VUP..EICV7_VUP version] Amount paid for dinner away from home (Visit4),int16,,0,0,0,642,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq9_v4,[EICV7_VUP..EICV7_VUP version] Point of Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,642,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq10_v4,[EICV7_VUP..EICV7_VUP version] Amount paid for food/snacks between meals away fr,int16,,0,0,0,336,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq11_v4,[EICV7_VUP..EICV7_VUP version] Point of Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,336,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq12_v4,[EICV7_VUP..EICV7_VUP version] Amount paid for any hot beverage away from home (,int16,,0,0,0,101,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq13_v4,[EICV7_VUP..EICV7_VUP version] Point Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,101,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq14_v4,[EICV7_VUP..EICV7_VUP version] Amount paid for any non-alcoholic drinks away fro,int16,,0,0,0,683,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq15_v4,[EICV7_VUP..EICV7_VUP version] Point service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,683,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq16_v4,[EICV7_VUP..EICV7_VUP version] Amount paid for alcoholic drinks taken away from,int16,,0,0,0,778,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq17_v4,[EICV7_VUP..EICV7_VUP version] Point service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,778,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq2_v5,[EICV7_VUP..EICV7_VUP version] Consumed any food away from home Since my last vi,int8,"1=Yes, 2=No",2,0,0,15039,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq4_v5,[EICV7_VUP..EICV7_VUP version] Amount pay for breakfast away from home (Visit5),int16,,0,0,0,363,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq5_v5,[EICV7_VUP..EICV7_VUP version] Point of Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,363,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq6_v5,[EICV7_VUP..EICV7_VUP version] Amount paid for lunch away from home (Visit5),int16,,0,0,0,1497,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq7_v5,[EICV7_VUP..EICV7_VUP version] Point of Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,1497,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq8_v5,[EICV7_VUP..EICV7_VUP version] Amount paid for dinner away from home (Visit5),int16,,0,0,0,667,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq9_v5,[EICV7_VUP..EICV7_VUP version] Point of Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,667,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq10_v5,[EICV7_VUP..EICV7_VUP version] Amount paid for food/snacks between meals away fr,int16,,0,0,0,316,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq11_v5,[EICV7_VUP..EICV7_VUP version] Point of Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,316,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq12_v5,[EICV7_VUP..EICV7_VUP version] Amount paid for any hot beverage away from home (,int16,,0,0,0,91,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq13_v5,[EICV7_VUP..EICV7_VUP version] Point Service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,91,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq14_v5,[EICV7_VUP..EICV7_VUP version] Amount paid for any non-alcoholic drinks away fro,int16,,0,0,0,646,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq15_v5,[EICV7_VUP..EICV7_VUP version] Point service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,646,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq16_v5,[EICV7_VUP..EICV7_VUP version] Amount paid for alcoholic drinks taken away from,int16,,0,0,0,778,EICV7_VUP: module s8c_food_away_from_home,,,
s8cq17_v5,[EICV7_VUP..EICV7_VUP version] Point service,int8,"1=Resitora/Cafetariat, 2=Butike/Cantine, 3=Bar, 4=In another Household, 5=Other",5,0,0,778,EICV7_VUP: module s8c_food_away_from_home,,,
s9d1q1,beneficiaries of VUP(any component),int8,"1=Yes, 2=No",2,0,0,1003,EICV7_VUP: module s9d5_financial_services,,,
s9d1q2m,Month,int8,"1=January, 2=February, 3=March, 4=April, 5=May …",12,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q2y,Year,int16,,0,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q3,reason for enrolling in the VUP direct support component,int8,"1=The HH had no workers, 2=The HH had someone caring for a person with a severe disability, 3=Don?t know",3,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q4,How much money the household received from VUP-DS in the past 12 months?,int32,,0,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q5,way by which direct support payment received,int8,"1=SACCO, 2=Mobile Money/Airtel Money, 3=Not yet paid",3,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q6,Activity by which the direct support benefit used for,string,,0,10606,6596,15039,EICV7_VUP: module s9d1_direct_support,,,
s9d1q6_a,Buy Food,int8,"1=Yes, 2=No",2,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q6_b,Buy Cloth,int8,"1=Yes, 2=No",2,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q6_c,Buy Home Utensils,int8,"1=Yes, 2=No",2,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q6_d,Buy Durables asset,int8,"1=Yes, 2=No",2,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q6_e,Pay Education/School Fess,int8,"1=Yes, 2=No",2,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q6_f,Pay Health/Medical Expenses,int8,"1=Yes, 2=No",2,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q6_g,Buy Animals,int8,"1=Yes, 2=No",2,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q6_h,Invest in Farming,int8,"1=Yes, 2=No",2,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q6_i,Invest in business Income or income generating activity,int8,"1=Yes, 2=No",2,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q6_j,Improve dwelling,int8,"1=Yes, 2=No",2,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q6_k,"Savings in SACCO,VSLA or Tontine",int8,"1=Yes, 2=No",2,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q6_l,Saving in EJo Heza,int8,"1=Yes, 2=No",2,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q6_m,Other,int8,"1=Yes, 2=No",2,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q6_other,"Other, specify",string,,0,10606,6596,15039,EICV7_VUP: module s9d1_direct_support,,,
s9d1q7,Have you received your DS entitlement for all the months since you joined,int8,"1=Yes, 2=No",2,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q8a,Number of delayed days of first last payment,int8,,0,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q8b,Number of delayed days of second last payment,int8,,0,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d1q8c,Number of delayed days of third last payment,int8,,0,0,0,1003,EICV7_VUP: module s9d1_direct_support,,,
s9d2q1,beneficiaries of class public work,int8,"1=Yes, 2=No",2,0,0,925,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q2m,join the Classic Public Work Programme / Month,int8,"1=January, 2=February, 3=March, 4=April, 5=May …",12,0,0,925,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q2y,join the Classic Public Work Programme / Year,int16,,0,0,0,925,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q3,number of months a household participated in cPW over the last 12 months,int8,,0,0,0,925,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q4,Daily wage,int16,,0,0,0,925,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q5,way by which cPW payment were received to beneficiary,int8,"1=SACCO, 2=Mobile Money/Airtel Money, 3=Not yet paid",3,0,0,925,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q6,way of receiving cPW payment,string,,0,10606,6596,15039,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q6_a,Buy Food,int8,"1=Yes, 2=No",2,0,0,914,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q6_b,Buy Cloth,int8,"1=Yes, 2=No",2,0,0,914,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q6_c,Buy Home Utensils,int8,"1=Yes, 2=No",2,0,0,914,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q6_d,Buy Durables asset,int8,"1=Yes, 2=No",2,0,0,914,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q6_e,Pay Education/School Fess,int8,"1=Yes, 2=No",2,0,0,914,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q6_f,Pay Health/Medical Expenses,int8,"1=Yes, 2=No",2,0,0,914,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q6_g,Buy Animals,int8,"1=Yes, 2=No",2,0,0,914,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q6_h,Invest in Farming,int8,"1=Yes, 2=No",2,0,0,914,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q6_i,Invest in business Income or income generating activity,int8,"1=Yes, 2=No",2,0,0,914,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q6_j,Improve dwelling,int8,"1=Yes, 2=No",2,0,0,914,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q6_k,"Savings in SACCO,VSLA or Tontine",int8,"1=Yes, 2=No",2,0,0,914,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q6_l,Saving in EJo Heza,int8,"1=Yes, 2=No",2,0,0,914,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q6_m,Other,int8,"1=Yes, 2=No",2,0,0,914,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q7a,Number of delayed days of first last payment,int8,,0,0,0,915,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q7b,Number of delayed days of second last payment,int8,,0,0,0,915,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q7c,Number of delayed days of third last payment,int8,,0,0,0,915,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q8,Did you receive payment for all the work performed during the last 12 months?,int8,"1=Yes, 2=No",2,0,0,915,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q9,When was the last Public Works payment received?,int8,"1=January, 2=February, 3=March, 4=April, 5=May …",12,0,0,764,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q10,How much did you receive in the last cPW payment?,int32,,0,0,0,764,EICV7_VUP: module s9d2_classic_public_work,,,
s9d2q11,What is the total value of cPW payments you received over the last 12 months?,int32,,0,0,0,764,EICV7_VUP: module s9d2_classic_public_work,,,
province_2,Province,int8,"1=Kigali City, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,0,0,794,EICV7_VUP: module s9d5_financial_services,,,
s9d3q1,beneficiaries of Expanded Public Work,int8,"1=Yes, 2=No",2,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q2,Components of ePW a beneficiary working on,int8,"1=Labor based ePW, 2=Homebased ECD Epw",2,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q2m,join the Classic Public Work Programme / Month,int8,"1=January, 2=February, 3=March, 4=April, 5=May …",12,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q2y,join the Classic Public Work Programme / Year,int16,,0,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q3,number of months a household participated in ePW over the last 12 months,int8,,0,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q4,Mode of getting ePW payment,int8,"1=SACCO, 2=Mobile Money/Airtel Money, 3=Not yet paid",3,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q5,activity by which ePW benefit used for in the last 12 months,string,,0,10606,6596,15039,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q5_a,Buy Food,int8,"1=Yes, 2=No",2,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q5_b,Buy Cloth,int8,"1=Yes, 2=No",2,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q5_c,Buy Home Utensils,int8,"1=Yes, 2=No",2,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q5_d,Buy Durables asset,int8,"1=Yes, 2=No",2,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q5_e,Pay Education/School Fess,int8,"1=Yes, 2=No",2,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q5_f,Pay Health/Medical Expenses,int8,"1=Yes, 2=No",2,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q5_g,Buy Animals,int8,"1=Yes, 2=No",2,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q5_h,Invest in Farming,int8,"1=Yes, 2=No",2,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q5_i,Invest in business Income or income generating activity,int8,"1=Yes, 2=No",2,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q5_j,Improve dwelling,int8,"1=Yes, 2=No",2,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q5_k,"Savings in SACCO,VSLA or Tontine",int8,"1=Yes, 2=No",2,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q5_l,Saving in EJo Heza,int8,"1=Yes, 2=No",2,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q5_m,Other,int8,"1=Yes, 2=No",2,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q6a,Number of delayed days of first last payment,int8,,0,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q6b,Number of delayed days of second last payment,int8,,0,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q6c,Number of delayed days of third last payment,int8,,0,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q7,Whether beneficiary of ePW  received payment of all work performed during the la,int8,"1=Yes, 2=No",2,0,0,796,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q8,Month of the last EPW payment received,int8,,0,0,0,639,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q9,EPW beneficiary's entitlement for all months since program enrollment,int8,"1=Yes, 2=No",2,0,0,639,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q10,Total amount received from ePW payment over the last 12 months,int32,,0,0,0,639,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d3q11,monthly wage earned during the last participation in ePW,int32,,0,0,0,639,EICV7_VUP: module s9d3_expanded_public_work,,,
s9d5q1,household who ever applied for financial service loan,int8,"1=Yes, 2=No",2,0,0,592,EICV7_VUP: module s9d5_financial_services,,,
s9d5q2m,When joined financial Component / Month,int8,"1=January, 2=February, 3=March, 4=April, 5=May …",12,0,0,592,EICV7_VUP: module s9d5_financial_services,,,
s9d5q2y,When joined financial Component / Year,int16,,0,0,0,592,EICV7_VUP: module s9d5_financial_services,,,
s9d5q2,Approved financial services loan,int8,"1=Yes, 2=No, 3=Still waiting",3,0,0,592,EICV7_VUP: module s9d5_financial_services,,,
s9d5q3,Whether the total amount was received as requested,int8,"1=Yes, 2=No",2,0,0,584,EICV7_VUP: module s9d5_financial_services,,,
s9d5q4,the total amount of the loan received,int32,,0,0,0,578,EICV7_VUP: module s9d5_financial_services,,,
s9d5q5,type of financial services loan,int8,"1=Individual, 2=Cooperative, 3=Group",3,0,0,584,EICV7_VUP: module s9d5_financial_services,,,
s9d5q6,Main project activity that originally planned for the loan,int8,"1=Investment in Farming, 2=To buy Livestock, 3= Poultry keeping, 4= Business/Trade, 5=Handcraft (Tailoring, Carpentry and other professions) …",6,0,0,584,EICV7_VUP: module s9d5_financial_services,,,
s9d5q7,Main project activity implemented after receiving the loan,int8,"1=Investment in Farming, 2=To buy Livestock, 3= Poultry keeping, 4= Business/Trade, 5=Handcraft (Tailoring, Carpentry and other professions) …",6,0,0,584,EICV7_VUP: module s9d5_financial_services,,,
