variable,label,type,value_labels,n_value_labels,n_2006,n_2009,n_2012,n_2015,n_2024,source,versions,label_variants,value_label_conflicts
qm904_1,Other Vegetables,int8,,0,0,0,7451,0,0,,,,
qm904_2,Other Vegetables - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,2503,0,0,,,,
qn904_1,Ground nuts and seeds,int8,,0,0,0,7451,0,0,,,,
qn904_2,Ground nuts and seeds - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,4122,0,0,,,,
qo904_1,orange coloured fruits,int8,,0,0,0,7450,0,0,,,,
qo904_2,orange coloured fruits  - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,1832,0,0,,,,
qp904_1,Other Fresh fruits,int8,,0,0,0,7450,0,0,,,,
qp904_2,Other Fresh fruits - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,1150,0,0,,,,
qq904_1,Fish,int8,,0,0,0,7451,0,0,,,,
qq904_2,Fish - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,1528,0,0,,,,
qr904_1,Organ Meat,int8,,0,0,0,7451,0,0,,,,
qr904_2,Organ Meat - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,514,0,0,,,,
qs904_1,Flesh meat,int8,,0,0,0,7449,0,0,,,,
qs904_2,Flesh meat  - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,1374,0,0,,,,
qt904_1,Eggs,int8,,0,0,0,7451,0,0,,,,
qt904_2,Eggs - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,593,0,0,,,,
qu904_1,"Oil, fat, butter, ghee (including palm oil)",int8,,0,0,0,7449,0,0,,,,
qu904_2,"Oil, fat, butter, ghee (including palm oil) - Main source:_",int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,6330,0,0,,,,
qv904_1,Sugar and sweets,int8,,0,0,0,7451,0,0,,,,
qv904_2,Sugar and sweets - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,3467,0,0,,,,
qw904_1,Milk and milk products,int8,,0,0,0,7451,0,0,,,,
qw904_2,Milk and milk products - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,2255,0,0,,,,
qx904_1,Condiments,int8,,0,0,0,7451,0,0,,,,
qx904_2,Condiments  - Main source:_,int8,"1=Own production (crops, animals), 2=hunting, fishing, gathering, 3=exchange labour/items for food, 4=borrowed, 5=purchases …",7,0,0,7270,0,0,,,,
q905,"What is your household prefered staple food (other than beans, soup)?",int8,,0,0,0,7451,0,0,,,,
qa906_1,Source of prefered food March2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7421,0,0,,,,
qa906_2,Source of Beans March2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7449,0,0,,,,
qb906_1,Source of prefered food April2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7422,0,0,,,,
qb906_2,Source of Beans April2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7450,0,0,,,,
qc906_1,Source of prefered food May2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7421,0,0,,,,
qc906_2,Source of Beans May2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7449,0,0,,,,
qd906_1,Source of prefered food June2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7423,0,0,,,,
qd906_2,Source of Beans June2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7451,0,0,,,,
qe906_1,Source of prefered food July2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7422,0,0,,,,
qe906_2,Source of Beans July2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7448,0,0,,,,
qf906_1,Source of prefered food August2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7422,0,0,,,,
qf906_2,Source of Beans August2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7450,0,0,,,,
qh906_1,Source of prefered food September2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7422,0,0,,,,
qh906_2,Source of Beans September2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7450,0,0,,,,
qi906_1,Source of prefered food October2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7422,0,0,,,,
qi906_2,Source of Beans October2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7450,0,0,,,,
qj906_1,Source of prefered food November2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7422,0,0,,,,
qj906_2,Source of Beans November2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7450,0,0,,,,
qk906_1,Source of prefered food December2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7422,0,0,,,,
qk906_2,Source of Beans December2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7450,0,0,,,,
ql906_1,Source of prefered food January2012,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7422,0,0,,,,
ql906_2,Source of Beans January2012,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7450,0,0,,,,
qm906_1,Source of prefered food February2012,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7422,0,0,,,,
qm906_2,Source of Beans February2012,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,7450,0,0,,,,
q1001,"In the last 7 days, have there been times when your household did not have enoug",int8,"0=No, 1=Yes",2,0,0,7452,0,0,,,,
q1002_1,Rely on less preferred and less expensive foods,int8,,0,0,0,7452,0,0,,,,
q1002_2,"Borrow food, or rely on help from a friend or relative",int8,,0,0,0,7452,0,0,,,,
q1002_3,Limit portion size at mealtimes,int8,,0,0,0,7452,0,0,,,,
q1002_4,Restrict consumption by adults in order for small children to eat,int8,,0,0,0,7452,0,0,,,,
q1002_5,Reduce number of meals eaten in a day,int8,,0,0,0,7452,0,0,,,,
q1101,In the last 12 months were there any specific months in which your household fou,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1102_00,All months,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1102_01,Mar-11,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1102_02,Apr-11,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1102_03,May-11,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1102_04,Jun-11,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1102_05,Jul-11,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1102_06,Aug-11,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1102_07,Sep-11,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1102_08,Oct-11,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1102_09,Nov-11,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1102_10,Dec-11,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1102_11,Januray 2012,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1102_12,Feb-12,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1103,Was this situation usual for your household at that time of year?:,int8,"0=No unusual, 1=Yes, usual",2,0,0,7456,0,0,,,,
q1104_1,:Did you experience any unusual situation during the last 12?,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1104_2,How many shocks,int8,,0,0,0,7456,0,0,,,,
q1105_1_1,First shock,int8,"1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=Landslides and Mudslides, 4=Unusually high level of crop pests & disease, 5=Unusually high level of livestock diseases …",21,0,0,7456,0,0,,,,
q1105_1_2,Specify other shocks,string,,0,3671,6252,7456,6768,6891,,,,
q1105_2_1,Second shock,int8,"1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=Landslides and Mudslides, 4=Unusually high level of crop pests & disease, 5=Unusually high level of livestock diseases …",21,0,0,7454,0,0,,,,
q1105_2_2,Specify other,int8,,0,0,0,7391,0,0,,,,
q1105_3_1,Third shock,int8,"1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=Landslides and Mudslides, 4=Unusually high level of crop pests & disease, 5=Unusually high level of livestock diseases …",21,0,0,7453,0,0,,,,
q1105_3_2,Specify other,int8,,0,0,0,7453,0,0,,,,
q1105_4_1,Fourth shock,int8,"1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=Landslides and Mudslides, 4=Unusually high level of crop pests & disease, 5=Unusually high level of livestock diseases …",21,0,0,7456,0,0,,,,
q1105_4_2,Specify other,int8,,0,0,0,7454,0,0,,,,
qa1106_1,First shock - Reported shock:_,int8,"1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=Landslides and Mudslides, 4=Unusually high level of crop pests & disease, 5=Unusually high level of livestock diseases …",21,0,0,7456,0,0,,,,
qa1106_2,First shock - Specify other:_,int8,,0,0,0,7078,0,0,,,,
qa1106_3,First shock - Did [shock] create a decrease or loss of income in cash or in-kind,int8,"0=No, 1=Yes",2,0,0,7454,0,0,,,,
qa1106_4,First shock - Did [shock] create a decrease or loss of assets or belongings?:_,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa1106_5,First shock - Did [shock] create an unusual decrease in your household's ability,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa1106_6,First shock - What did the household do to compensate for those losses?:_,int8,"1=Have household members eat at relatives' or neighbours', 2=Reduce adult consumption so that children can eat, 3=Feed working members at the expense of non working members, 4=Reduce number of meals eaten per day, 5=Go entire day without eating …",18,0,0,7456,0,0,,,,
qa1106_7,First shock - Has the household recovered from those losses?:_,int8,"0=No, 1=Yes, 2=Partially",3,0,0,7456,0,0,,,,
qb1106_1,Second shock - Reported shock:_,int8,"1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=Landslides and Mudslides, 4=Unusually high level of crop pests & disease, 5=Unusually high level of livestock diseases …",21,0,0,7456,0,0,,,,
qb1106_2,Second shock - Specify other:_,int8,,0,0,0,7389,0,0,,,,
qb1106_3,Second shock - Did [shock] create a decrease or loss of income in cash or in-kin,int8,"0=No, 1=Yes",2,0,0,7453,0,0,,,,
qb1106_4,Second shock - Did [shock] create a decrease or loss of assets or belongings?:_,int8,"0=No, 1=Yes",2,0,0,7453,0,0,,,,
qb1106_5,Second shock - Did [shock] create an unusual decrease in your household's abilit,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qb1106_6,Second shock - What did the household do to compensate for those losses?:_,int8,"1=Have household members eat at relatives' or neighbours', 2=Reduce adult consumption so that children can eat, 3=Feed working members at the expense of non working members, 4=Reduce number of meals eaten per day, 5=Go entire day without eating …",18,0,0,7456,0,0,,,,
qb1106_7,Second shock - Has the household recovered from those losses?:_,int8,"0=No, 1=Yes, 2=Partially",3,0,0,7456,0,0,,,,
q1201_1,Do you know what your household's UBUDEHE category is?:,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1201_2,If yes what is it?:,int8,"1=UMUTINDI NYAKUJYA (THOSE IN ABJECT POVERTY), 2=UMUTINDI (THE VERY POOR), 3=UMUKENE (THE POOR), 4=UMUKENE WIFASHIJE (THE RESOURCEFUL POOR), 5=UMUKUNGU (THE FOOD RICH) …",6,0,0,7456,0,0,,,,
q1202,Did your household or one (or more) of its members benefit from any in kind food,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa1203_1,Food for school children (eaten at school or take-home) - Was this aid provided?,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa1203_2_1,Food for school children (eaten at school or take-home) - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qa1203_2_2,Food for school children (eaten at school or take-home) - Specify other:_,int8,,0,0,0,7456,0,0,,,,
qb1203_1,Food for pregnant and breastfeeding women and small children (MCHN) - Was this a,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qb1203_2_1,Food for pregnant and breastfeeding women and small children (MCHN) - Who provid,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qb1203_2_2,Food for pregnant and breastfeeding women and small children (MCHN) - Specify ot,int8,,0,0,0,7454,0,0,,,,
qc1203_1,Food for work - Was this aid provided?:_,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qc1203_2_1,Food for work - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qc1203_2_2,Food for work - Specify other:_,int8,,0,0,0,7456,0,0,,,,
qd1203_1,Food for training - Was this aid provided?:_,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qd1203_2_1,Food for training - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qd1203_2_2,Food for training - Specify other:_,int8,,0,0,0,7456,0,0,,,,
qe1203_1,One cup of milk per child - Was this aid provided?:_,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qe1203_2_1,One cup of milk per child - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qe1203_2_2,One cup of milk per child - Specify other:_,int8,,0,0,0,7456,0,0,,,,
qf1203_1,Free food distributions - Was this aid provided?:_,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qf1203_2_1,Free food distributions - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qf1203_2_2,Free food distributions - Specify other:_,int8,,0,0,0,7454,0,0,,,,
qg1203_1,"Other food assistance programs, specify ___________________ - Was this aid provi",int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qg1203_2_1,"Other food assistance programs, specify ___________________ - Who provided it?:_",int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qg1203_2_2,"Other food assistance programs, specify ___________________ - Specify other:_",int8,,0,0,0,7450,0,0,,,,
q1204_1,Social security/caisse sociale,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1204_2,VUP direct support,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1204_3,VUP public works,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1204_4,VUP access to financial services,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1204_5,UBUDEHE credit scheme/loan (individual or group),int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1205,Did your household or one (or more) of its members benefit from any other non-fo,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa1206_1,Access to credit/loans for agricultural/livestock related activities (including,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa1206_2_1,Access to credit/loans for agricultural/livestock related activities (including,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qa1206_2_2,Access to credit/loans for agricultural/livestock related activities (including,int8,,0,0,0,7454,0,0,,,,
qb1206_1,Access to credit/loans for Other NON agricultural/livestock related activities (,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qb1206_2_1,Access to credit/loans for Other NON agricultural/livestock related activities (,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qb1206_2_2,Access to credit/loans for Other NON agricultural/livestock related activities (,int8,,0,0,0,7453,0,0,,,,
qc1206_1,"Agricultural input assistance (tools, seeds, fertilizer, etc.) - Was this assist",int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qc1206_2_1,"Agricultural input assistance (tools, seeds, fertilizer, etc.) - Who provided it",int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qc1206_2_2,"Agricultural input assistance (tools, seeds, fertilizer, etc.) - Specify other:_",int8,,0,0,0,7454,0,0,,,,
qd1206_1,Training and technical assistance in improved agricultural/livestock practices -,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qd1206_2_1,Training and technical assistance in improved agricultural/livestock practices -,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qd1206_2_2,Training and technical assistance in improved agricultural/livestock practices -,int8,,0,0,0,7453,0,0,,,,
qe1206_1,Large Livestock (eg. cow) - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qe1206_2_1,Large Livestock (eg. cow) - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qe1206_2_2,Large Livestock (eg. cow) - Specify other:_,int8,,0,0,0,7441,0,0,,,,
qf1206_1,Small livestock (eg. chicken rabbits…) - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qf1206_2_1,Small livestock (eg. chicken rabbits…) - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qf1206_2_2,Small livestock (eg. chicken rabbits…) - Specify other:_,int8,,0,0,0,7449,0,0,,,,
qg1206_1,Fish ponds - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qg1206_2_1,Fish ponds - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qg1206_2_2,Fish ponds - Specify other:_,int8,,0,0,0,7456,0,0,,,,
qh1206_1,Veterinary services - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qh1206_2_1,Veterinary services - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qh1206_2_2,Veterinary services - Specify other:_,int8,,0,0,0,7456,0,0,,,,
qi1206_1,For education (e.g. school materials) - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qi1206_2_1,For education (e.g. school materials) - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qi1206_2_2,For education (e.g. school materials) - Specify other:_,int8,,0,0,0,7448,0,0,,,,
qj1206_1,Direct transfers (other than VUP) - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qj1206_2_1,Direct transfers (other than VUP) - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qj1206_2_2,Direct transfers (other than VUP) - Specify other:_,int8,,0,0,0,7442,0,0,,,,
qk1206_1,medical services (including mutuelle sante) - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qk1206_2_1,medical services (including mutuelle sante) - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qk1206_2_2,medical services (including mutuelle sante) - Specify other:_,int8,,0,0,0,7439,0,0,,,,
ql1206_1,Construction/building materials - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
ql1206_2_1,Construction/building materials - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
ql1206_2_2,Construction/building materials - Specify other:_,int8,,0,0,0,7455,0,0,,,,
qm1206_1,Water and/or sanitation - Was this assistance provided?:_,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qm1206_2_1,Water and/or sanitation - Who provided it?:_,int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qm1206_2_2,Water and/or sanitation - Specify other:_,int8,,0,0,0,7453,0,0,,,,
qn1206_1,"Other, specify _____________________ - Was this assistance provided?:_",int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qn1206_2_1,"Other, specify _____________________ - Who provided it?:_",int8,"1=Government, 2=WFP, 3=Other UN agency, 4=NGO, 5=Church/Mosque …",9,0,0,7456,0,0,,,,
qn1206_2_2,"Other, specify _____________________ - Specify other:_",int8,,0,0,0,7451,0,0,,,,
q1301_1,Where there women to be measured?,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q1301_2,Where there children to be measured?,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
hh_size_computed,,int8,,0,0,0,7454,0,0,,,,
hh_sizecheck,,int8,,0,0,0,7454,0,0,,,,
hh_size,HH size (computed),int8,,0,0,0,7454,0,0,,,,
dependents,dependents in the HH,int8,,0,0,0,7454,0,0,,,,
independents,independents in the HH,int8,,0,0,0,7456,0,0,,,,
perc_dependents,% dependents in the HH,double,,0,0,0,7452,0,0,,,,
elderly_head,elderly headed HH,int8,"0=non elderly head, 1=elderly head",2,0,0,7456,0,0,,,,
males,males in the HH,int8,,0,0,0,7455,0,0,,,,
csi_reduced,CSI reduced,int8,,0,0,0,7452,0,0,,,,
starches,,int8,,0,0,0,7451,0,0,,,,
pulses,,int8,,0,0,0,7451,0,0,,,,
vegs,,int8,,0,0,0,7451,0,0,,,,
fruits,,int8,,0,0,0,7451,0,0,,,,
protein,,int8,,0,0,0,7451,0,0,,,,
oil,,int8,,0,0,0,7449,0,0,,,,
sugar,,int8,,0,0,0,7451,0,0,,,,
milk,,int8,,0,0,0,7451,0,0,,,,
fcs,Food Consumption Score,double,,0,0,0,7449,6768,0,,,,
females,females in the HH,int8,,0,0,0,7454,0,0,,,,
perc_females,% females in the HH,double,,0,0,0,7452,0,0,,,,
primarylast,Indicator of each last matching case as Primary,int8,"0=Duplicate Case, 1=Primary Case",2,0,0,7456,0,0,,,,
final_urban,,int8,"1=Urban, 2=Rural, 3=Semi/peri-urban",3,0,0,7456,0,0,,,,
n_w_wastin_muac,Women global wasting (NEW),int8,,0,0,0,7377,0,0,,,,
n_g_w_wastin_muac,,int8,,0,0,0,7377,0,0,,,,
fews_code,Fewsnet livelihood zones,int8,"0=Kigali City, 1=Lake Kivu Coffee Zone, 2=West Congo-Nile Crest Tea Zone, 3=Northwest Volcanic Irish Potato Zone, 4=East Congo-Nile Highland Subsistence Farming Zone …",13,0,0,7456,0,0,,,,
normalized_weight_women,Normalized weight,double,,0,0,0,0,6768,0,,,,
parent_key,,string,,0,3671,6252,7456,6768,6891,,,,
submissiondate,,double,,0,0,0,0,6768,0,,,,
s0_b_date,Interview date,double,,0,0,0,0,6768,0,,,,
bmic,Body mass index (grouped),int8,"1=Severe Thinness (< 16), 2=Moderate Thinness (16 - 17), 3=Mild Thinness (17 - 18.5), 4=Normal (18.5 - 25), 5=Overweight (25 - 30) …",8,0,0,0,6210,0,,,,
livezone,Livelihoodzone,int8,"0=Kigali city, 1=Lake Kivu Coffee Zone, 2=West Congo-Nile Crest Tea Zone, 3=Northwest Volcanic Irish Potato Zone, 4=East Congo-Nile Highland Subsistence Farming Zone …",13,0,0,0,6768,0,,,,
fs_final,Final CARI food security index,int8,"1=Food secure, 2=Marginally food secure, 3=Moderately food insecure, 4=Severely food insecure",4,0,0,0,6768,0,,,,
fcg,Food Consumption Group,int8,"1=Poor Consumption, 2=Borderline Consumption, 3=Acceptable Consumption",3,0,0,0,6768,0,,,,
wi,Wealth Index,double,,0,0,0,0,6768,0,,,,
wi_cat,Wealth Index groups,int8,,0,0,0,0,6768,0,,,,
csi,Reduced coping strategies index,int8,,0,0,0,0,6768,0,,,,
s13_01,How many women between 15 and 49 years old are present in this household?,int8,,0,0,0,0,6768,0,,,,
s14_01,How many children under 5 years old (6 - 59.98 months) are present in this house,int8,,0,0,0,0,6768,0,,,,
s13_02_2,How old are you?,int8,,0,0,0,0,6768,0,,,,
s13_02_3,Does the woman know how to read and write?,int8,"0= No, 1= Yes both read and write, 2= Yes (read only)",3,0,0,0,6768,0,,,,
s13_02_4,What is the level of education of the woman,int8,"1= No school, 2= Some/still primary, 3= Completed primary, 4= Vocational school, 5= Some/still secondary …",8,0,0,0,6768,0,,,,
s13_03,Have you ever been pregnant and gave birth at least once?,int8,"0=Never been pregnant, 1=Never gave birth but been pregnant, 2=Yes (was pregnant and gave brith), 88=Don't know",4,0,0,0,6768,0,,,,
s13_03_3,During the first 6 weeks that s/he was born (the child that you're currently bre,int8,"0=No, 1=Yes",2,0,0,0,1351,0,,,,
s13_03_4,Did you see anyone for antenatal care for this/the last pregnancy?,int8,"0=No, 1=Yes",2,0,0,0,4913,0,,,,
s13_03_5,Where did you receive antenatal care for this/the last pregnancy?,int8,"1=Public/confessional, 2=Private",2,0,0,0,4727,0,,,,
s13_03_6,How many months pregnant were you when you first received antenatal care for the,int8,,0,0,0,0,4727,0,,,,
s13_03_7,How many antenatal care visits did you attend during your last pregnancy?,int8,,0,0,0,0,4727,0,,,,
s13_03_8,"During your last pregnancy, have you taken iron supplements?",int8,"0=No, 1=Yes",2,0,0,0,4913,0,,,,
s13_03_9,For how long did you take iron pills  during your last pregnancy: (write the tim,int16,,0,0,0,0,2099,0,,,,
s13_04,Do you ever sleep in a mosquito net?,int8,"0=No, 1=Yes",2,0,0,0,6768,0,,,,
s13_04_2,How many nights a week or how many nights in the last week did you use mosquito,int8,,0,0,0,0,5533,0,,,,
s13_04_3,Have you ever been ill during the last two weeks?,int8,"0=No, 1=Yes",2,0,0,0,6768,0,,,,
s13_04_4,"Last 2 weeks when you were sick, did you consult any healthcare service?",int8,"0=No, 1=Yes",2,0,0,0,8,0,,,,
as13_05,Before preparing meals?,int8,"0=No, 1=Yes",2,0,0,0,6768,0,,,,
bs13_05,After cleaning a child from toilet?,int8,"0=No, 1=Yes",2,0,0,0,6768,0,,,,
cs13_05,Before eating?,int8,"0=No, 1=Yes",2,0,0,0,6768,0,,,,
ds13_05,Whenever their dirty?,int8,"0=No, 1=Yes",2,0,0,0,6768,0,,,,
es13_05,After visiting toilet?,int8,"0=No, 1=Yes",2,0,0,0,6768,0,,,,
