variable,label,type,value_labels,n_value_labels,universe,n_2002,n_2012,n_2022,source_by_year,version_years,other_versions,label_variants,value_label_conflicts
h19,Main mode of household waste disposal used,int8,"1=Public Composit dumping, 2=Household ompost dumping, 3=Waste collection companies, 4=Thrown in the household's fields or bushes, 5=Burnt, 6=In a River/Stream/Drain/Gutter/lacs …",8,private households (repeated on every member),0,0,1313015,,2022,h19_v2 (2012–2012),,
h20,Main mode of sewage,int8,"1=Sump, 2=In the courtyard, 3=Rivulet/Trench/Channels, 4=In the street, 5=Main sewer, 6=Cesspool …",9,private households (repeated on every member),0,0,1313015,,2022,h20_v2 (2012–2012),,
h21_01,Functional assets own by HH: Radio,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,,,,
h21_02,Functional assets own by HH: Television,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,,,,
h21_03,Functional assets own by HH: Refrigerator/Freezer for HH use only,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,,,,
h21_04,Functional assets own by HH: Gas/Electrical Cooker,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,,,,
h21_05,Functional assets own by HH: Washing machine,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,,,,
h21_06,Functional assets own by HH: Microwave,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,,,,
h21_07,Functional assets own by HH: Mattress,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,,,,
h21_08,Functional assets own by HH: Bench/Chair,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,,,,
h21_09,Functional assets own by HH: Bed,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,,,,
h21_10,Functional assets own by HH: Tables,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,,,,
h21_11,Functional assets own by HH: Sofa,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,,,,
h21_12,Functional assets own by HH: Computers,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,,,,
h21_13,Functional assets own by HH: Vehicles for household use only,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,,,,
h21_14,Functional assets own by HH: Motorcycles for household use only,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,,,,
h21_15,Functional assets own by HH: Bicycles for household use only,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,,,,
h21_16,Functional assets own by HH: Electrical/Charcoal Iron,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,,,,
h22,HH own livestock or beehive,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1313015,,2022,h22_v2 (2012–2012),,
h22a_01,Local breed cows reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_02,Exotic breed cows reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_03,Cross breed cows reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_04,Local goats reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_05,Exotic goats reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_06,Cross goats reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_07,Local sheep reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_08,Exotic sheep reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_09,Local pigs reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_10,Exotic pig reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_11,Cross pig reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_12,Rabbits reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_13,Broiler chicken reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_14,Layers chicken reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_15,Dual purpose chicken reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_16,Local chicken reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_17,Duck reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_18,Turkey reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_19,Other poultry reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_20,Camel reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_21,Bees hive reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_22,Dogs reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22a_23,Other reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,760019,,,,,
h22b1_01,Number of Local breed cows reared,int16,,0,private households (repeated on every member),0,0,241255,,,,,
h22b1_02,Number of Exotic breed cows reared,int16,,0,private households (repeated on every member),0,0,25876,,,,,
h22b1_03,Number of Cross breed cows reared,int16,,0,private households (repeated on every member),0,0,175883,,,,,
h22b1_04,Number of Local goats reared,int16,,0,private households (repeated on every member),0,0,277442,,,,,
h22b1_05,Number of Exotic goats reared,int8,,0,private households (repeated on every member),0,0,8645,,,,,
h22b1_06,Number of Cross goats reared,int16,,0,private households (repeated on every member),0,0,10883,,,,,
h22b1_07,Number of Local sheep reared,int8,,0,private households (repeated on every member),0,0,63097,,,,,
h22b1_08,Number of Exotic sheep reared,int8,,0,private households (repeated on every member),0,0,10233,,,,,
h22b1_09,Number of Local pigs reared,int16,,0,private households (repeated on every member),0,0,194116,,,,,
h22b1_10,Number of Exotic pig reared,int16,,0,private households (repeated on every member),0,0,13023,,,,,
h22b1_11,Number of Cross pig reared,int8,,0,private households (repeated on every member),0,0,21910,,,,,
h22b1_12,Number of Rabbits reared,int16,,0,private households (repeated on every member),0,0,44016,,,,,
h22b1_13,Number of Broiler chicken reared,int16,,0,private households (repeated on every member),0,0,20984,,,,,
h22b1_14,Number of Layers chicken reared,int16,,0,private households (repeated on every member),0,0,53145,,,,,
h22b1_15,Number of Dual purpose chicken reared,int16,,0,private households (repeated on every member),0,0,33504,,,,,
h22b1_16,Number of Local chicken reared,int16,,0,private households (repeated on every member),0,0,100117,,,,,
h22b1_17,Number of Duck reared,int8,,0,private households (repeated on every member),0,0,11874,,,,,
h22b1_18,Number of Turkey reared,int8,,0,private households (repeated on every member),0,0,2999,,,,,
h22b1_19,Number of Other poultry reared,int8,,0,private households (repeated on every member),0,0,330,,,,,
h22b1_20,Number of Camel reared,string,,0,private households (repeated on every member),814432,1038369,1313015,,,,,
h22b1_21,Number of Bees hive reared,int16,,0,private households (repeated on every member),0,0,8960,,,,,
h22b1_22,Number of Dogs reared,int8,,0,private households (repeated on every member),0,0,25428,,,,,
h22b1_23,Number of Other reared,int8,,0,private households (repeated on every member),0,0,6061,,,,,
h22b2_01,Location(District) where is Local breed cows reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,241255,,,,,
h22b2_02,Location(District) where is Exotic breed cows reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,25876,,,,,
h22b2_03,Location(District) where is Cross breed cows reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,175883,,,,,
h22b2_04,Location(District) where is Local goats reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,277442,,,,,
h22b2_05,Location(District) where is Exotic goats reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,8645,,,,,
h22b2_06,Location(District) where is Cross goats reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,10883,,,,,
h22b2_07,Location(District) where is Local sheep reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,63097,,,,,
h22b2_08,Location(District) where is Exotic sheep reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,10233,,,,,
h22b2_09,Location(District) where is Local pigs reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,194116,,,,,
h22b2_10,Location(District) where is Exotic pig reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,13023,,,,,
h22b2_11,Location(District) where is Cross pig reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,21910,,,,,
h22b2_12,Location(District) where is Rabbits reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,44016,,,,,
h22b2_13,Location(District) where is Broiler chicken reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,20984,,,,,
h22b2_14,Location(District) where is Layers chicken reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,53145,,,,,
h22b2_15,Location(District) where is Dual purpose chicken reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,33504,,,,,
h22b2_16,Location(District) where is Local chicken reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,100117,,,,,
h22b2_17,Location(District) where is Duck reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,11874,,,,,
h22b2_18,Location(District) where is Turkey reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,2999,,,,,
h22b2_19,Location(District) where is Other poultry reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,330,,,,,
h22b2_20,Location(District) where is Camel reared,string,,0,private households (repeated on every member),814432,1038369,1313015,,,,,
h22b2_21,Location(District) where is Bees hive reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,8960,,,,,
h22b2_22,Location(District) where is Dogs reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,25428,,,,,
h22b2_23,Location(District) where is Other reared,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,private households (repeated on every member),0,0,6061,,,,,
h23,Household grew crops in last 12 months,int8,"1=Yes, 2=No, 9=Not stated",3,private households (repeated on every member),0,0,1313015,,2022,h23_v2 (2012–2012),,
h23a,Place where the agricultural activities is done,int8,"1=In household owned land, 2=In rentedland (in cash or in kind payment or for free), 3=In both households owned land and in rented land",3,private households (repeated on every member),0,0,899035,,,,,
h24_01,Maize grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_02,Rice grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_03,Sorghum grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_04,Wheat grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_05,Bean grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_06,Pea grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_07,Groundnut grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_08,Soybean grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_09,Cassava grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_10,Sweet potato grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_11,Irish potato grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_12,Yams& Taro grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_13,Cooking Banana grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_14,Dessert Banana grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_15,Banana for Beer grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_16,Vegetables grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_17,Tea grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_18,Coffee grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_19,Sugarcane grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_20,Pyrethrum grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_21,Flowers grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h24_22,Other crop type grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,899035,,,,,
h25_01,Amaranths grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_02,Tomato grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_03,Cabbage grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_04,Onion grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_05,Carrot grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_06,Eggplant grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_07,Black eggplant grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_08,Sweet pepper grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_09,Pepper grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_10,Cauliflower grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_11,French beans grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_12,Beetroot grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_13,Garlic grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_14,Lettuce grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_15,Broccoli grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_16,Spinach grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_17,Celery grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_18,Leeks grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_19,Pumpkin grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_20,Cocumber grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_21,Mushroom grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_22,Chayote grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_23,Cassava Leaves grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h25_24,Other vegetables grown,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,143010,,,,,
h26,Number of tea trees grown,int32,,0,private households (repeated on every member),0,0,8642,,2022,h26_v2 (2012–2012),,
h27,Number of coffee trees grown,int32,,0,private households (repeated on every member),0,0,61000,,2022,h27_v2 (2012–2012),,
h28a,Any fruit tree,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,1312999,,2022,h28a_v2 (2012–2012),,
h28b1_01,Grow Avocado,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,712408,,,,,
h28b1_02,Grow Orange,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,712408,,,,,
h28b1_03,Grow Papaya,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,712408,,,,,
h28b1_04,Grow Guava,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,712408,,,,,
h28b1_05,Grow Lemon,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,712408,,,,,
h28b1_06,Grow Mango,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,712408,,,,,
h28b1_07,Grow Mandarin,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,712408,,,,,
h28b1_08,Grow Jack fruits,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,712408,,,,,
h28b1_09,Grow Beefheart,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,712408,,,,,
h28b1_10,Grow Passion fruits,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,712408,,,,,
h28b1_11,Grow Pineapple,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,712408,,,,,
h28b1_12,Grow Tree tomato,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,712408,,,,,
h28b1_13,Grow Watermelon,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,712408,,,,,
h28b1_14,Grow Strawberry,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,712408,,,,,
h28b1_15,Grow Other fruit,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,712408,,,,,
h28b2_01,Number of Avocado,int16,,0,private households (repeated on every member),0,0,572038,,,,,
h28b2_02,Number of Orange,int16,,0,private households (repeated on every member),0,0,38842,,,,,
h28b2_03,Number of Papaya,int16,,0,private households (repeated on every member),0,0,160525,,,,,
h28b2_04,Number of Guava,int16,,0,private households (repeated on every member),0,0,100790,,,,,
h28b2_05,Number of Lemon,int16,,0,private households (repeated on every member),0,0,59674,,,,,
h28b2_06,Number of Mango,int16,,0,private households (repeated on every member),0,0,241762,,,,,
h28b2_07,Number of Mandarin,int16,,0,private households (repeated on every member),0,0,7094,,,,,
h28b2_08,Number of Jack fruits,int16,,0,private households (repeated on every member),0,0,31969,,,,,
h28b2_09,Number of Beefheart,int8,,0,private households (repeated on every member),0,0,2609,,,,,
h28b2_10,Number of Passion fruits,string,,0,private households (repeated on every member),814432,1038369,1313015,,,,,
h28b2_11,Number of Pineapple,string,,0,private households (repeated on every member),814432,1038369,1313015,,,,,
h28b2_12,Number of Tree tomato,string,,0,private households (repeated on every member),814432,1038369,1313015,,,,,
h28b2_13,Number of Watermelon,string,,0,private households (repeated on every member),814432,1038369,1313015,,,,,
h28b2_14,Number of Strawberry,string,,0,private households (repeated on every member),814432,1038369,1313015,,,,,
h28b2_15,Number of Other fruit,string,,0,private households (repeated on every member),814432,1038369,1313015,,,,,
