variable,label,type,value_labels,n_value_labels,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024,n_2025,source_by_year,version_years,other_versions,label_variants,value_label_conflicts
i07o,Does this household own Bicycle  ?,int8,"1=Yes, 2=No",2,77761,0,19323,0,66445,70424,69747,0,0,,,,,
i07p,Does this household own Motorcycle  ?,int8,"1=Yes, 2=No",2,77761,0,81778,0,66442,70424,69747,0,0,,,,,
i07q,Does this household own internet connection ?,int8,"1=Yes, 2=No",2,77761,0,19323,0,66444,70424,69747,0,0,,,,,
indb05,Field of education,int8,"0=General education, 1=Education, 2=Humanity and art, 3=Social Science business and art, 4=Science, 5=engineering, manufacturing and construction …",11,10038,45349,35769,0,9377,45780,46701,66303,65721,,,,,
status1,Labour force status with 14+,int8,"1=Employed, 2=Unemployed, 3=out of labour force",3,45526,45297,48741,45039,46562,45780,46701,66303,65721,,,,2017: Labour force status with 16+; 2018: Labour force status with 16+; 2022: Labour force status with 16+; 2023: Labour force status with 16+; 2024: Labour force status with 16+,
wap16,Working age population,int8,,0,45526,45297,48741,42106,43053,42302,43418,61824,61342,,,,,
employed16,Employment to population ratio,int8,,0,45526,45297,48741,42106,43053,42302,43418,61824,61342,,,,,
ur1,Unemployment rate,int8,,0,25806,26121,27763,24827,24232,25046,26523,38950,39044,,,,,
lfpr,Labour force particiaption rate,int8,,0,45526,45297,48741,42106,43053,42302,43418,61824,61342,,,,,
sub,Subsistance foodstaff producers,int8,"1=Subsistance, 2=Not_subsistance",2,45526,45297,0,42106,43053,42302,43418,61824,61342,,,,2017: Subsistance_foodstaff_producers; 2018: Subsistance_foodstaff_producers; 2021: Dimunished Subsistance foodstaff producers; 2022: Dimunished Subsistance foodstaff producers; 2023: Dimunished Subsistance foodstaff producers; 2024: Dimunished Subsistance foodstaff producers,"{""2"": [""Not subsistance"", ""Not_subsistance""]}"
tru,Time related underemployment,int8,"0=Not time related underemployed, 1=Time related underemployed",2,21151,21836,23351,0,19030,19826,22061,33166,34181,,,,,
plf,Potential labour force,int8,"1= Unvailable jobseekers, 2=Available not jobseekers",2,9096,0,9590,8953,7375,6312,6607,9807,10645,,,,,
luu,Labour underutilization,int8,"1=Unemployed, 2=Time related underemployed, 3=Potential labour force",3,19382,17881,19493,0,17987,17329,17128,26455,27962,,,,2017: Labour underutilisation; 2018: Labour underutilisation; 2019: Labour underutilisation; 2021: Labour underutilisation; 2022: Labour underutilisation; 2023: Labour underutilisation; 2024: Labour underutilisation,
luur, Labour underulilation rate,int8,,0,35194,34257,37353,0,31766,31548,33327,49253,0,,,,2022: Labour underutilization rate; 2023: Labour underutilization rate,
ie,Formal and Informal employment for main job,int8,"1=Formal employment, 2=Informal employment, 3=Don't know",3,21151,0,0,0,0,0,0,0,0,,,,,
cash,Monthly income in cash for employees,double,,0,14685,14781,0,14780,0,13944,14601,22044,22395,,,,,
usualhrs,Usually working hours,int8,"1=1-24 hrs, 2=25-34 hrs, 3=35-40 hrs, 4=41-48 hrs, 5=49-61 hrs, 6=62-79 hrs …",7,21394,0,23351,20440,19142,19947,22214,33594,34712,,,,,
usual_h,Number of usual hours,double,,0,21394,0,23351,20440,19142,19947,22214,33594,34712,,,,,
act_hrs,Number of actual hours worked,int16,,0,20823,0,22868,20051,18699,19681,21773,32955,33983,,,,,
acthrs,Actual hours intervals,int8,"1=1-24 hrs, 2=25-34 hrs, 3=35-40 hrs, 4=41-48 hrs, 5=49-61 hrs, 6=62-79 hrs …",7,20823,0,22868,20051,18699,19681,21773,32955,33983,,,,,
prod_sec,Informal&Formal& household sector employment,int8,"1=Informal sector, 2=Formal sector, 3=household",3,21238,21836,0,0,0,0,0,0,0,,,,2017: Formal_Informal_HH,
pid_nisr,NISR person id as shipped (pid / pkey),double,,0,77761,76670,81778,37319,71947,70424,71849,102562,0,,,,,
b05a,Area of specialization,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
c21a,"Arranging for financial ressources,applying for permits,licences",int8,"1=Yes, 2=No",2,0,40347,0,0,9819,0,0,0,0,,"2018,2021","c21a_v2 (2017–2019), c21a_v3 (2024–2024)",,
c21c,"Seeking the assistance of friends,relatives or other types of intermediaries",int8,"1=Yes, 2=No",2,0,40347,0,0,9819,0,0,0,0,,"2018,2021","c21c_v2 (2017–2019), c21c_v3 (2024–2024)",,
c21d,Register with Employment center(Public/private),int8,"1=Yes, 2=No",2,0,40347,0,0,9819,0,0,5909,0,,"2018,2021,2024",c21d_v2 (2017–2019),2018: Registering with or contacting public or private employment ; 2021: Registering with or contacting public or private employment ,
c21e,"Applying to employers directly,checking at worksites,farms,factory gates,markets",int8,"1=Yes, 2=No",2,0,40347,940,0,9819,0,0,0,0,,"2018,2019,2021",c21e_v2 (2024–2024),,
c21f,Placing or answering newspaper or online job advertisements,int8,"1=Yes, 2=No",2,0,40347,940,0,9819,0,0,0,0,,"2018,2019,2021",c21f_v2 (2024–2024),,
c21g,Placing and updating resumes on professional or social networking sites online,int8,"1=Yes, 2=No",2,0,40346,940,0,9819,0,0,0,0,,"2018,2019,2021",c21g_v2 (2024–2024),,
c21h,No method,int8,"1=Yes, 2=No",2,0,40346,940,0,27420,0,0,0,0,,"2018,2019,2021",c21h_v2 (2024–2024),,
c21l,Other,int8,"1=Yes, 2=No",2,0,40346,0,0,9819,0,0,0,0,,"2018,2021",c21l_v2 (2024–2024),,
c21b,"Looking for land,premises,machinery,supplies,farming inputs",int8,"1=Yes, 2=No",2,0,40347,0,0,9819,0,0,0,0,,"2018,2021","c21b_v2 (2017–2019), c21b_v3 (2024–2024)",,
d01b2,Main tasks and duties(ISCO CODE),int16,"110=Commissioned armed forces officers, 210=Non-commissioned armed forces officers, 310=Armed forces occupations, other ranks, 1111=Legislators, 1112=Senior government officials, 1113=Traditional chiefs and heads of village …",436,0,22033,23550,0,19145,0,0,0,0,,,,,
d27,Is a secondary paid job or business/activity reported,int8,"1=Yes, 2=No",2,0,22031,23547,0,1511,4752,5972,0,0,,,,2021: INTERVIEWER: Check on question C10 whether a secondary paid ,
e01b1,Main tasks and duties(ISCO CODE),int16,"110=Commissioned armed forces officers, 210=Non-commissioned armed forces officers, 310=Armed forces occupations, other ranks, 1111=Legislators, 1112=Senior government officials, 1113=Traditional chiefs and heads of village …",436,0,510,529,0,229,0,0,0,0,,,,,
e02,What is the name of (NAME)?s workplace at his/her secondary job/activity?,int8,"1=Workplace, 2=Domestic worker, 3=No name",3,0,510,0,0,0,0,0,0,0,,,,,
f04a,What was the name of (NAME)?s workplace at his/her job/activity?,int8,"1=Valid, 2=Domestic worker, 3=No name",3,0,10357,0,0,0,0,0,0,0,,,,,
jobsearch,Not employed with jobseach,int8,,0,0,76670,0,70172,0,0,0,0,0,,,,,
disable,person with disability,int8,,0,0,76670,48741,0,71947,70424,71849,89747,88722,,,,,
discourage,Discouraged jobseekers,int8,,0,0,5527,6923,0,4555,4095,4508,6384,6907,,,,,
willing,Willing non seeker and not available,int8,,0,0,797,0,0,0,798,700,1277,1558,,,,,
migrant,Recent migration,int8,"1=Internal migrant, 2=International migrant",2,0,11761,9862,0,8923,7641,9150,13856,13994,,,,,
iev2,Formal and Informal employment for main job,int8,"1=Formal employment, 2=Informal employment, 3=Don't know",3,0,21836,23351,0,19030,19826,22061,33166,34181,,,,,
lu2,LU2 - Combined rate of unemployment and time-related underemployment(%),int8,,0,0,26121,13930,0,0,25236,26720,39446,39655,,,,2018: Combined rate of TRU and unempoyment; 2019: Combined rate of TRU and unempoyment,
lu3,LU3 - Combined rate of unemployment and potential labour force(%),int8,,0,0,34257,18681,0,0,31358,33130,48757,49689,,,,2018: Combined rate of unemployment and potential labour force; 2019: Combined rate of unemployment and potential labour force,
trur,Time related underemployment rate(%),int8,,0,0,21836,11755,0,0,19826,22061,33166,34181,,,,2018: Time related underumployment; 2019: Time related underumployment,
work_agr,work in agriculture,int8,"1=Market oriented agriculture_mainjob, 2=Subsistance agriculture, 3=Employed not agri_ andinvolved in sub agr, 4=Market oriented agriculture_secondjob",4,0,20772,21137,0,0,0,0,0,0,,,,,
pkey,identifier,double,,0,0,0,81778,0,0,0,0,0,0,,,,,
a15,Has usual place of residence  always been in this district?,int8,"1=Yes, 2=No",2,0,0,81778,0,0,70424,71849,102562,0,,"2019,2022,2023,2024",a15_v2 (2021–2025),,
a16y,The period of usual place of residence( last move)-Years,int8,,0,0,0,26920,0,20897,18924,20706,29713,30747,,,,,
a17a,In which country(Name) live in prior to arrive here?,int8,"1=Rwanda, 2=Burundi, 3=Congo-Kinshasa  DRC, 4=Kenya, 5=Tanzania, 6=Uganda …",9,0,0,26920,0,20897,18924,20706,29713,30747,,,,2019: District or foreign country did he/she live.; 2021: District or foreign country did he/she live.; 2022: District or foreign country did he/she live.; 2023: District or foreign country did he/she live.; 2024: District or foreign country did he/she live.,"{""7"": [""Rest of Africa"", ""South Sudan""], ""8"": [""Other country"", ""Rest of Africa""]}"
a17b,District code,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,0,0,23686,0,18346,17054,18872,26497,27250,,,,,
b05c,ESCED name,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
c09a,"Among the following categories, which correspond to the (NAME)'s situation",int8,"1=Professional agricultural, 2=Subsistence agricultural, 3=Helping without pay in agriculture",3,0,0,1098,0,643,848,1001,1780,2200,,,,,
c21,what did [NAME] do  in the last 4 weeks to find a paid job or start a business?,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
d03a,Does the place or business where(you/name) work's have a name?,int8,"1=Name of workplace, 2=Domestic worker, 3=No name",3,0,0,23550,0,19142,19947,22214,33595,34712,,,,2019: What is the name of (NAME)?s workplace?; 2021: What is the name of (NAME)?s workplace?; 2022: What is the name of (NAME)?s workplace?; 2023: What is the name of (NAME)?s workplace?; 2024: What is the name of (NAME)?s workplace?,"{""1"": [""Name of workplace"", ""Valid name""], ""2"": [""Domestic worker"", ""Domestic works""]}"
d03a1,The workplace name,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
d03b,What are the main goods or services produced at (NAME)?s place of work or its ma,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
d03b1,Main goods and services(ISIC code),int16,"111=Growing of cereals (except rice), leguminous crops and oil seeds, 112=Growing of rice, 113=Growing of vegetables and melons, roots and tubers, 114=Growing of sugar cane, 115=Growing of tobacco, 116=Growing of fibre crops …",420,0,0,23550,20440,19142,0,0,0,0,,,,2020: ISIC code,
d24a,How long have [NAME] been working (total experience)-Years?,int8,,0,0,0,23550,0,19142,19947,22214,0,0,,,,,
e02b1,Main goods or services(ISIC CODE),int16,"111=Growing of cereals (except rice), leguminous crops and oil seeds, 112=Growing of rice, 113=Growing of vegetables and melons, roots and tubers, 114=Growing of sugar cane, 115=Growing of tobacco, 116=Growing of fibre crops …",420,0,0,529,0,229,0,0,0,0,,,,,
f03b,What were (NAME)?s main tasks and duties?,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
f03b1,Main tasks and duties(ISCO CODE),int16,"110=Commissioned armed forces officers, 210=Non-commissioned armed forces officers, 310=Armed forces occupations, other ranks, 1111=Legislators, 1112=Senior government officials, 1113=Traditional chiefs and heads of village …",436,0,0,11997,0,10020,0,0,0,0,,,,,
f04b,What were the main goods or services produced at (NAME)?s workplace  in his/her,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
f04b1,Main goods and services(ISIC CODE),int16,"111=Growing of cereals (except rice), leguminous crops and oil seeds, 112=Growing of rice, 113=Growing of vegetables and melons, roots and tubers, 114=Growing of sugar cane, 115=Growing of tobacco, 116=Growing of fibre crops …",420,0,0,11998,0,10019,0,0,0,0,,,,,
i08,How many of this household members used internet in the last 12 months?,int8,,0,0,0,81778,0,0,0,0,0,0,,,,,
i09,How many of this household members having mobile phone?,int8,,0,0,0,81778,0,0,0,0,0,0,,,,,
i10,How many of this household members having personal computer?,int8,,0,0,0,19323,0,0,0,0,0,0,,,,,
i11,How many of this household members using social media,int8,,0,0,0,19323,0,0,0,0,0,0,,,,,
i12,How many of this household members aged 10 and above who used a computer in the,int8,,0,0,0,19323,0,0,0,0,0,0,,,,,
i13,How many of this household members aged 10 and above who know to use at least on,int8,,0,0,0,19323,0,0,0,0,0,0,,,,,
neetyoung,NEET 16-30,int8,,0,0,0,22809,0,19604,18841,18981,27213,26290,,,,,
prod_unit,Production sector unit,int8,"1=Informal Sector, 2=Formal sector, 3=Household",3,0,0,23351,0,19044,19850,22108,33242,34258,,,,,
indb1,Years of schooling,int8,,0,0,0,48708,0,46531,45761,46640,66284,65707,,,,,
attained,Level of education completed,int8,"1=None, 2=Primary, 3=Lower secondary, 4=Upper secondary, 5=University",5,0,0,48739,45294,46554,45780,46701,66303,65721,,,,,"{""3"": [""Lower secondary"", ""Lower_secondary""], ""4"": [""Upper secondary"", ""Upper_secondary""]}"
age5,Five years age group,int8,"1=0-4 yrs, 2=5-9 yrs, 3=10-14 yrs, 4=15-19 yrs, 5=20-24 yrs, 6=25-29 yrs …",16,0,0,48741,70172,71947,70424,71849,102562,100852,,,,,
age10,Broader age group,int8,"1=16-24_yrs, 2=25-34_yrs, 3=35-54_yrs, 4=55-64_yrs, 5=65+_yrs",5,0,0,48741,42106,43053,42302,43418,61824,61342,,,,,"{""1"": [""16-24 yrs"", ""16-24_yrs""], ""2"": [""25-34 yrs"", ""25-34_yrs""], ""3"": [""35-54 yrs"", ""35-54_yrs""], ""4"": [""55-64 yrs"", ""55-64_yrs""], ""5"": [""65+ yrs"", ""65+_yrs""]}"
tvt2,General or TVET attainemnt,int8,"1=No level completed, 2=Completed general, 3=Completed TVET",3,0,0,48741,0,46562,45780,46701,66303,65721,,,,,
ud,Unemployment duration,int16,"1=Less than 3 months, 2=Less than 6 months, 3=Less than 12 months, 4=1 year to less than 2 years, 5=2 years and above",5,0,0,4061,0,5090,5228,4338,5722,4792,,,,,
lfs_workforce,LFS_workforce,int8,"1=Work out of agriculture, 2= Work in agriculture(sub or MO)",2,0,0,34489,0,0,0,0,0,0,,,,,
youth,Youth 16 to 24 years old,int8,,0,0,0,0,12685,0,12762,12811,18766,18284,,,,,
young,Young 16 to 30 years old,int8,,0,0,0,0,19817,0,18841,18981,27213,26290,,,,,
main_sect,Economic sector,int8,"1=Agriculture, 2=Industry, 3=Services",3,0,0,0,20440,19142,19947,22214,33594,34712,,,,,
ya,Young/adult,int8,"1=Youth(16-30 yrs), 2=Adult(31+ yrs)",2,0,0,0,42106,43053,42302,43418,61824,61342,,,,,"{""1"": [""16-30"", ""Youth(16-30 yrs)""], ""2"": [""31+"", ""Adult(31+ yrs)""]}"
usualhrsc,Hours worked by child_interval,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
usualhc,Hours worked by children,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
lfs_round,LFS_rounds,int8,"0=AUG16, 1=FEB17, 2=FEB17, 3=AUG17, 4=FEB18, 5=AUG18 …",18,0,0,0,70172,71947,0,0,0,0,,,,,"{""2"": [""AUG17"", ""FEB17""], ""3"": [""AUG17"", ""FEB18""], ""4"": [""AUG18"", ""FEB18""], ""5"": [""AUG18"", ""FEB19""], ""6"": [""FEB19"", ""MAY19""], ""7"": [""AUG19"", ""MAY19""], ""8"": [""AUG19"", ""NOV19""], ""9"": [""FEB20"", ""NOV19""], ""10"": [""FEB20"", ""MAY20""], ""11"": [""AUG20"", ""MAY20""], ""12"": [""AUG20"", ""NOV20""]}"
tvt,Attended TVT or not,int8,"0=Not attended, 1=Attended TVT",2,0,0,0,32961,0,45780,46701,66303,65721,,,,,
a0a,"Does anyone has difficulty seeing, even if wearing glasses in the HH?",string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
a0b,"Does anyone has difficulty hearing, even if using a hearing aid?",string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
a0c,Does anyone has difficulty walking or climbing steps?,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
a0d,Does anyone has difficulty remembering or concentrating?,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
a1a,Does anyone has difficulty (with self-care such as) washing all over or dressing,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
a1b,"Using your usual language, does anyone has difficulty communicating, mple unders",string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
lfs_year,LFS data collection year,int16,,0,0,0,0,70172,71947,70424,71849,102562,100852,,,,,
psu_id,Primary Sampling Unit,int32,,0,0,0,0,0,71947,0,0,0,0,,,,,
qh_no,QUESTIONNAIRE  NUMBER,int8,,0,0,0,0,0,71947,70424,71849,102562,100852,,,,,
hhgap,Number of Group Appearance,int8,,0,0,0,0,0,71878,0,0,0,0,,,,,
hhgac,Number of Group Acceptance,int8,,0,0,0,0,0,71868,0,0,0,0,,,,,
consent,Consent,int8,"1=Yes, 2=No",2,0,0,0,0,71947,0,0,0,0,,,,,
decode,Data entry code,int16,,0,0,0,0,0,71947,0,0,0,0,,,,,
sihh,Still in the Household,int8,"1=Yes, 2=No, Moved out or dead",2,0,0,0,0,71947,0,0,0,0,,,,,
more_person,More person,int8,"1=Yes, 2=No",2,0,0,0,0,71947,0,0,0,0,,,,,
a15_v2,[2021-2025 version] Did he/she lived outside this district for at least 6 consec,int8,"1=Yes, 2=No",2,0,0,0,0,71947,0,0,0,100852,,"2021,2025",a15 (2019–2024),2021: Since birth Has  ived in another district for 6 consecutive ; 2025: Did he/she lived outside this district for at least 6 consec,
b17,Is [Name] able to apply any of the following ICT skills (Choose all applicable s,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
b17_a,Is [Name] able to apply  Copying or moving file or folder,int8,"1=Yes, 2=No",2,0,0,0,0,9086,0,0,0,0,,,,,
b17_b,Is [Name] able to apply Using copy and paste to duplicate or move document,int8,"1=Yes, 2=No",2,0,0,0,0,9086,0,0,0,0,,,,,
b17_c,Is [Name] able to apply Sending email with attached files,int8,"1=Yes, 2=No",2,0,0,0,0,9086,0,0,0,0,,,,,
b17_d,Is [Name] able to apply Using basic arithmetic formulae in a spreadsheet,int8,"1=Yes, 2=No",2,0,0,0,0,9086,0,0,0,0,,,,,
b17_e,"Is [Name] able to apply Connecting and installing new devices (E.g. Modem, print",int8,"1=Yes, 2=No",2,0,0,0,0,9086,0,0,0,0,,,,,
b17_f,Is [Name] able to apply Transferring files between a computer and other devices,int8,"1=Yes, 2=No",2,0,0,0,0,9086,0,0,0,0,,,,,
b17_g,Is [Name] able to apply (NONE),int8,"1=Yes, 2=No",2,0,0,0,0,9086,0,0,0,0,,,,,
b18,"Has [Name] in last three months used any social media (facebook, whatsapp, tweet",int8,"1=Yes, 2=No, 3=Don't Know",3,0,0,0,0,46562,45773,46701,0,0,,,,,
b19,Has [Name] in the last three months used intenet? (for individual use not for of,int8,"1=Yes, 2=No, 3=Don't Know",3,0,0,0,0,46562,45773,46701,0,0,,,,,
d28,"In the past 12 months, has (NAME)  ever been hurt in an accident while working t",int8,"1=Yes, 2=No",2,0,0,0,0,13766,0,0,0,0,,,,,
d29,"Did this injury result in (NAME)  being absent or unable to work, for at least o",int8,"1=Yes, 2=No",2,0,0,0,0,309,0,0,0,0,,,,,
d30a,How long(NAME)  were  away from work (or are likely to be) because of the injury,int8,"1=Days, 2=Weeks, 3=Months, 4=Years",4,0,0,0,0,249,0,0,0,0,,,,,
d30b,How long(NAME)  were  away from work (or are likely to be) because of the injury,int8,,0,0,0,0,0,248,0,0,0,0,,,,,
d31,Did (NAME)  report the injury to the management?,int8,"1=Yes, 2=No, 3=Don't know",3,0,0,0,0,248,0,0,0,0,,,,,
d32,Did you receive any financial compensation for the injury?,int8,"1=Yes, 2=No, 3=Don't know",3,0,0,0,0,248,0,0,0,0,,,,,
g01a,"In the last 7 days,  did [NAME] spend time collecting firewood for the household",int8,"1=Yes, 2=No",2,0,0,0,0,45561,44796,45581,65137,64509,,,,,
g02a,"In the last 7 days, Did [Name] spent time on fetching water for the household?",int8,"1=Yes, 2=No",2,0,0,0,0,45561,44796,45581,65137,64509,,,,,
g03a,"In the last 7 days, Did [Name] spent time on grazing or feeding hiusehold animal",int8,"1=Yes, 2=No",2,0,0,0,0,45561,44796,45581,65137,64509,,,,,
g04a,"In the last 7 days, Did [Name] spent time on manufacturing of goods for family u",int8,"1=Yes, 2=No",2,0,0,0,0,45561,44796,45581,65137,64509,,,,,
g05a,"In the last 7 days, Did [Name] spent time on construction of own building?",int8,"1=Yes, 2=No",2,0,0,0,0,45561,44796,45581,65137,64509,,,,,
g06a,"In the last 7 days, Did [Name] spent time on doing household chores?",int8,"1=Yes, 2=No",2,0,0,0,0,45561,44796,45581,65137,64509,,,,,
g07a,"In the last 7 days, Did [Name] tooktime to look under children or adults",int8,"1=Yes, 2=No",2,0,0,0,0,45561,44796,45581,65137,64509,,,,,
h00,How would you describe your main situation on labour market at present?,int8,"1=Working for pay or profit, 2=Unemployed, 3=Studying, in training, 4=Household, family responsibilities, 5=Farming or fishing mainly for household or family consumption, 6=Long-term illness, injury or disability …",9,0,0,0,0,46556,45773,46697,0,0,,,,,
is,Informal&Formal sector employment,int8,"1=Informal sector, 2=Formal sector",2,0,0,0,0,17996,0,0,0,0,,,,,
quintile,quintiles,int8,"1=Quintile1, 2=Quintile2, 3=Quintile3, 4=Quintile4, 5=Quintile5",5,0,0,0,0,13640,0,0,0,0,,,,,
hr_cshmain,Hourly wage of employees in main job,double,,0,0,0,0,0,13640,13944,14601,22044,0,,,,,
hr_cash,Hourly wage of employees,double,,0,0,0,0,0,13640,13944,14601,22044,0,,,,,
pop,Total population,int8,,0,0,0,0,0,71947,0,0,0,0,,,,,
sm,Search methods,int8,"1= Arranging for financial resources, applying for permits, licenses, 2=Looking for land, premises, machinery, supplies, farming inputs, 3=Seeking the assistance of friends, relatives or other types of intermediaries, 4= Registering with or contacting public or private employment services, 5=Applying to employers directly,checking at worksites,farms,factory gates,markets, 6=Placing or answering newspaper or online job advertisements …",8,0,0,0,0,4851,4946,4169,0,0,,,,,"{""4"": [""\u00a0Registering with or contacting public or private employment services"", ""\u00c2\u00a0Registering with or contacting public or private employment services""], ""7"": [""\u00a0Placing or updating resumes on professional or social networking"", ""\u00c2\u00a0Placing or updating resumes on professional or social networking""]}"
hhid_nisr,NISR household id as shipped (HHID),double,,0,0,0,0,0,71947,70424,71849,102562,100852,,,,,
c21_a,"Arranging for financial ressources,applying for permits,licences",int8,,0,0,0,0,0,0,5289,4506,0,0,,,,,
c21_b,"Looking for land,premises,machinery,supplies,farming inputs",int8,,0,0,0,0,0,0,5289,4506,0,0,,,,,
c21_c,"Seeking the assistance of friends,relatives or other types of intermediaries",int8,,0,0,0,0,0,0,5289,4506,0,0,,,,,
c21_d,Registering with or contacting public or private employment services,int8,,0,0,0,0,0,0,5289,4506,0,0,,,,,
c21_e,"Applying to employers directly,checking at worksites,farms,factory gates,markets",int8,,0,0,0,0,0,0,5289,4506,0,0,,,,,
c21_f,Placing or answering newspaper or online job advertisements,int8,,0,0,0,0,0,0,5289,4506,0,0,,,,,
c21_g,Placing and updating resumes on professional or social networking sites online,int8,,0,0,0,0,0,0,5289,4506,0,0,,,,,
c21_h,No method,int8,,0,0,0,0,0,0,5289,4506,0,0,,,,,
c21_l,"Other, specify",int8,,0,0,0,0,0,0,5289,4506,0,0,,,,,
neetyouth,NEET 16-24,int8,,0,0,0,0,0,0,12762,12811,18766,18284,,,,,
youngs,Young status,int8,"1=In education or training, 2=In employment, 3=In both employment and education or training, 4=Not in employment nor in education/training (NEET)",4,0,0,0,0,0,18841,18981,27213,26290,,,,,
intcash,Cash Income interval for employees,int8,"1=Less than 30,000 RFW, 2=30,000-49,999 RWF, 3=50,000-79,999 RWF, 4=80,000 - 99,999 FRW, 5=100,000-199,999RWF, 6=200,000-399,999RWF …",10,0,0,0,0,0,14022,14714,22199,22071,,,,2022: Income interval; 2023: Income interval; 2024: Income interval,"{""1"": [""Less than 20000 RFW"", ""Less than 30,000 RFW""], ""2"": [""20000-29999 RWF"", ""30,000-49,999 RWF""], ""3"": [""30000-49999 RWF"", ""50,000-79,999 RWF""], ""4"": [""50000 - 99999 FRW"", ""80,000 - 99,999 FRW""], ""5"": [""100,000-199,999RWF"", ""100000 and above RWF""]}"
timegood,Time spent in production of good,int8,,0,0,0,0,0,0,24953,25856,41209,41970,,,,,
timeservice,Time spent in production of services,int16,,0,0,0,0,0,0,29346,30154,44674,44867,,,,,
hhsize,Household size,int8,"1=1 person, 2=2 persons, 3=3 Persons, 4=4 Persons, 5=5Persons, 6=6 persons …",10,0,0,0,0,0,70424,71849,102562,100852,,,,,
hr_own,Total hours in own use,int16,,0,0,0,0,0,0,35314,35664,53183,53417,,,,,
combhrs,Combined hours for Own use and employment,double,,0,0,0,0,0,0,40308,20243,0,0,,,,,
subhrs,Time spent in subsistance activities,int16,,0,0,0,0,0,0,13639,13866,26413,27379,,,,,
tvet3,TVET Completion,int8,"1=Completed formal TVET, 2=Completed none formal TVET",2,0,0,0,0,0,4000,4382,0,0,,,,,
agdis,RECODE of A04 (Age at last birthday),int8,"1=5-15, 2=16+",2,0,0,0,0,0,61806,31056,0,0,,,,,
head,Head of the household,int8,,0,0,0,0,0,0,16572,17756,25867,25382,,,,,
dg01,fetch firewood,int8,,0,0,0,0,0,0,15503,14897,23542,23466,,,,,
dg02,fetch water,int8,,0,0,0,0,0,0,19310,19152,30671,29519,,,,,
dg03,searching fooder or grazing,int8,,0,0,0,0,0,0,10878,13331,21891,24403,,,,,
dg04,manufacturing household goods,int8,,0,0,0,0,0,0,226,322,1075,1364,,,,,
dg05,repairing household,int8,,0,0,0,0,0,0,724,1053,2573,3530,,,,,
dg06,Cooking and shopping,int8,,0,0,0,0,0,0,27922,28367,41350,41028,,,,,
dg07,Looking after children and aldery,int8,,0,0,0,0,0,0,11959,13615,22415,23711,,,,,
age3,selected age group,int8,"1=16-30, 2=31-44, 3=45-54, 4=55-64, 5=65+",5,0,0,0,0,0,42302,43418,61824,61342,,,,,
lu4,LU4 - Composite measure of labour underutilization(%),int8,,0,0,0,0,0,0,31548,33327,49253,50300,,,,,
isco2digit,occupation activity at two digit,int8,"-3=Armed forces occupations, other ranks, -2=Non-commissioned armed forces officers, -1=Commissioned armed forces officers, 11=Chief executives, senior officials and legislators, 12=Administrative and commercial managers, 13=Production and specialised services managers …",43,0,0,0,0,0,19947,22214,33594,34712,,,,,
isic2digitdigit,economic activity at two digit,int8,"1=Crop and animal production, hunting and related service activities, 2=Forestry and logging, 3= Fishing and aquaculture, 5=Mining of coal and lignite, 6=Extraction of crude petroleum and natural gas, 7=Mining of metal ores …",88,0,0,0,0,0,19947,22214,33594,34712,,,,,
age3_16_30,Youth age groups,int8,"1=16-19 yrs, 2=20-24 yrs, 3=25-30 yrs",3,0,0,0,0,0,18841,18981,27213,26290,,,,,
yur1,Youth unemployment rate,int8,,0,0,0,0,0,0,10137,10731,16411,15961,,,,,
lfs_strata,strata for LFS,int16,"111=Nyarugenge, 121=Gasabo, 131=Kicukiro, 210=Nyanza, 220=Gisagara, 230=Nyaruguru …",36,0,0,0,0,0,0,0,102562,100852,,,,,
c10a,How many jobs other than main job do(you/name) posess?,int8,,0,0,0,0,0,0,0,0,1088,1552,,,,,
c19a,During the last 4 weeks did(name) try to start a business?,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,27305,26485,,,,,
